# Matter power spectrum P(k) at redshift z=0
# for k=9.29043e-06 to 1.17881 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.290433981453e-06       6.050076590633e+01 
       1.169596342585e-05       7.616584921683e+01 
       1.472434557221e-05       9.588691866179e+01 
       1.853685281290e-05       1.207140708661e+02 
       2.333651506085e-05       1.519691978761e+02 
       2.937893183282e-05       1.913162621708e+02 
       3.698588385570e-05       2.408496673629e+02 
       4.656246906361e-05       3.032053106205e+02 
       5.861867554006e-05       3.817000021791e+02 
       7.379654024310e-05       4.805061868198e+02 
       9.290433981453e-05       6.048703821407e+02 
       1.169596342585e-04       7.613851230103e+02 
       1.472434557221e-04       9.583254203447e+02 
       1.853685281290e-04       1.206060982467e+03 
       2.333651506085e-04       1.517553840911e+03 
       2.937893183282e-04       1.908946048876e+03 
       3.698588385570e-04       2.400232439775e+03 
       4.656246906361e-04       3.015999087540e+03 
       5.861867554006e-04       3.786189475039e+03 
       7.379654024310e-04       4.746826530209e+03 
       9.290433981453e-04       5.940513743547e+03 
       1.169596342585e-03       7.416319685779e+03 
       1.472434557221e-03       9.228291958185e+03 
       1.853685281290e-03       1.143301148442e+04 
       2.333651506085e-03       1.408360553407e+04 
       2.937893183282e-03       1.722040307573e+04 
       3.698588385570e-03       2.085735320540e+04 
       4.656246906361e-03       2.496289682590e+04 
       5.861867554006e-03       2.943283304794e+04 
       7.379654024310e-03       3.406247654169e+04 
       9.290433981453e-03       3.850972954236e+04 
       1.169596342585e-02       4.226412435772e+04 
       1.472434557221e-02       4.463929120288e+04 
       1.853685280778e-02       4.484571323403e+04 
       2.333650599926e-02       4.225030345030e+04 
       2.937643498675e-02       3.691334317466e+04 
       3.683557048130e-02       3.027288296584e+04 
       4.434178586148e-02       2.536124514666e+04 
       4.976198883977e-02       2.304207458417e+04 
       5.400256597056e-02       2.175956231886e+04 
       5.768420360715e-02       2.087872865329e+04 
       6.106384595966e-02       2.015979385836e+04 
       6.426853258670e-02       1.948825096446e+04 
       6.737082720743e-02       1.880223910023e+04 
       7.041670570241e-02       1.806911708289e+04 
       7.343766661141e-02       1.727547231538e+04 
       7.645667195151e-02       1.642256133620e+04 
       7.949134213434e-02       1.552290778050e+04 
       8.255580086221e-02       1.459750356357e+04 
       8.566180233117e-02       1.367256225330e+04 
       8.881945213576e-02       1.277647446306e+04 
       9.203768594175e-02       1.193645723710e+04 
       9.532459732153e-02       1.117554100549e+04 
       9.868766809922e-02       1.051034870350e+04 
       1.021339336108e-01       9.949362948615e+03 
       1.056701032574e-01       9.491743958133e+03 
       1.093026495675e-01       9.127692214075e+03 
       1.130378745847e-01       8.838049365852e+03 
       1.168819596255e-01       8.596421750298e+03 
       1.208410026664e-01       8.371347400212e+03 
       1.249210464505e-01       8.130579116380e+03 
       1.291280996323e-01       7.846588811138e+03 
       1.334681527625e-01       7.502615704049e+03 
       1.379471905738e-01       7.096934852944e+03 
       1.425712018006e-01       6.644420444708e+03 
       1.473461876190e-01       6.173205364779e+03 
       1.522781696963e-01       5.717931560529e+03 
       1.573731987814e-01       5.311337276978e+03 
       1.626373647296e-01       4.975598169556e+03 
       1.680768088301e-01       4.717039050271e+03 
       1.736977392922e-01       4.524605303020e+03 
       1.795064507339e-01       4.373056852585e+03 
       1.855093485101e-01       4.229094087871e+03 
       1.917129787186e-01       4.058322778209e+03 
       1.981240647283e-01       3.843164075363e+03 
       2.047495511001e-01       3.589794182464e+03 
       2.115966558103e-01       3.323394922799e+03 
       2.186729317721e-01       3.074726111376e+03 
       2.259863387645e-01       2.867629542583e+03 
       2.335453270658e-01       2.709977417823e+03 
       2.413589343450e-01       2.589308061569e+03 
       2.494368977259e-01       2.479273958389e+03 
       2.577897834255e-01       2.355556072365e+03 
       2.664291370235e-01       2.208750051274e+03 
       2.753676582862e-01       2.049455728346e+03 
       2.846194056147e-01       1.900658242521e+03 
       2.942000367052e-01       1.778299974562e+03 
       3.041270940239e-01       1.681024107063e+03 
       3.144203463963e-01       1.593867105717e+03 
       3.251022016470e-01       1.500437420462e+03 
       3.361982101977e-01       1.398151679347e+03 
       3.477376863952e-01       1.297567587456e+03 
       3.597544839697e-01       1.210322575318e+03 
       3.722879757274e-01       1.136259545162e+03 
       3.853843074089e-01       1.065556510242e+03 
       3.990980248556e-01       9.919273999154e+02 
       4.134942175054e-01       9.192179955748e+02 
       4.286513885580e-01       8.534763059569e+02 
       4.446653678971e-01       7.941838232114e+02 
       4.616547543012e-01       7.357540004718e+02 
       4.797686562473e-01       6.776704843860e+02 
       4.991979851200e-01       6.239000818524e+02 
       5.201924154908e-01       5.730873843368e+02 
       5.430867208006e-01       5.228193055078e+02 
       5.683432839427e-01       4.747393954307e+02 
       5.966239046429e-01       4.281167944238e+02 
       6.289177574100e-01       3.821105192977e+02 
       6.667842370661e-01       3.367542515922e+02 
       7.128487992161e-01       2.910929550937e+02 
       7.718990427557e-01       2.443433363472e+02 
       8.534664739238e-01       1.954780353464e+02 
       9.775417914887e-01       1.440651934717e+02 
       1.178809879667e+00       9.395415088729e+01 
