# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.08141e-05 to 1.10652 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.157705354515e-02       2.669935650637e-02      -2.385651503539e+03      -2.392013211831e+03       2.930411413204e-02      -2.390521268544e+03       3.000075704483e-01       3.000075704483e-01 
       2.716372450706e-02       2.304273641830e-02      -3.262756089714e+03      -3.275428016528e+03       2.529275391224e-02      -3.272819394958e+03       2.591595785589e-01       2.591595785589e-01 
       3.417482766411e-02       1.925686961749e-02      -4.309669142297e+03      -4.332344960604e+03       2.113669106142e-02      -4.328049809758e+03       2.165226978520e-01       2.165226978520e-01 
       4.235828132946e-02       1.593533895836e-02      -5.473491383177e+03      -5.506806661588e+03       1.749050985754e-02      -5.500705542216e+03       1.791288650094e-01       1.791288650094e-01 
       4.911392365603e-02       1.397167363940e-02      -6.456483133184e+03      -6.494439725258e+03       1.533593861285e-02      -6.487434868198e+03       1.571403017528e-01       1.571403017528e-01 
       5.404106761198e-02       1.290094832397e-02      -7.215812428657e+03      -7.254157986095e+03       1.415973632659e-02      -7.246912303118e+03       1.449869777751e-01       1.449869777751e-01 
       5.812725656915e-02       1.216254202167e-02      -7.873748139047e+03      -7.910906084865e+03       1.334919101453e-02      -7.903669857681e+03       1.366762232178e-01       1.366762232178e-01 
       6.178657815893e-02       1.159232505387e-02      -8.476355462540e+03      -8.511873060840e+03       1.272247634826e-02      -8.504724553589e+03       1.301654709423e-01       1.301654709423e-01 
       6.520546414208e-02       1.107659657143e-02      -9.040327998795e+03      -9.074386848720e+03       1.215843050001e-02      -9.067309502597e+03       1.246046608783e-01       1.246046608783e-01 
       6.848335026843e-02       1.064692469007e-02      -9.570374757088e+03      -9.603596520046e+03       1.168496067301e-02      -9.596509669825e+03       1.195548328957e-01       1.195548328957e-01 
       7.168018712837e-02       1.021558279959e-02      -1.006772724735e+04      -1.010105946707e+04       1.121218498418e-02      -1.009383552448e+04       1.147841150998e-01       1.147841150998e-01 
       7.483551720865e-02       9.793995552095e-03      -1.053107535594e+04      -1.056569176241e+04       1.075036927725e-02      -1.055817109907e+04       1.101531684382e-01       1.101531684382e-01 
       7.797730021473e-02       9.397754697597e-03      -1.095911270054e+04      -1.099631144835e+04       1.031451883599e-02      -1.098831695351e+04       1.055889850644e-01       1.055889850644e-01 
       8.112645277011e-02       8.992705583068e-03      -1.135207714592e+04      -1.139316745015e+04       9.870206689076e-03      -1.138452037268e+04       1.010679812314e-01       1.010679812314e-01 
       8.429938055451e-02       8.600454374912e-03      -1.171159441423e+04      -1.175777105609e+04       9.439118602134e-03      -1.174830862002e+04       9.659405676889e-02       9.659405676889e-02 
       8.750948319368e-02       8.195888897665e-03      -1.204249110308e+04      -1.209470267779e+04       8.996375438068e-03      -1.208429615094e+04       9.220085488167e-02       9.220085488167e-02 
       9.076809531455e-02       7.823180810159e-03      -1.235151477320e+04      -1.241033583091e+04       8.586603249761e-03      -1.239890834879e+04       8.793076080795e-02       8.793076080795e-02 
       9.408509994183e-02       7.457748471379e-03      -1.264903234992e+04      -1.271455850438e+04       8.185656673358e-03      -1.270209919390e+04       8.384122674492e-02       8.384122674492e-02 
       9.746934222548e-02       7.114493578956e-03      -1.294780309400e+04      -1.301957369662e+04       7.808961195933e-03      -1.300614815539e+04       7.999013901821e-02       7.999013901821e-02 
       1.009289164934e-01       6.796601857250e-03      -1.326154666707e+04      -1.333852900728e+04       7.460114481398e-03      -1.332428132981e+04       7.642516708651e-02       7.642516708651e-02 
       1.044713700965e-01       6.508802635421e-03      -1.360423718584e+04      -1.368487750308e+04       7.144150868281e-03      -1.367002292061e+04       7.318102480541e-02       7.318102480541e-02 
       1.081038509097e-01       6.248727346539e-03      -1.398804044870e+04      -1.407040089062e+04       6.858813119922e-03      -1.405520661806e+04       7.027141996685e-02       7.027141996685e-02 
       1.118332156425e-01       6.021521011319e-03      -1.442118231185e+04      -1.450315817812e+04       6.609154689753e-03      -1.448791329465e+04       6.768431487950e-02       6.768431487950e-02 
       1.156661102385e-01       5.817655029775e-03      -1.490573125588e+04      -1.498534830217e+04       6.385286203068e-03      -1.497032271866e+04       6.537967016863e-02       6.537967016863e-02 
       1.196090299893e-01       5.624243545319e-03      -1.543691636860e+04      -1.551266327578e+04       6.173767933144e-03      -1.549806183767e+04       6.329556442445e-02       6.329556442445e-02 
       1.236683646586e-01       5.456699696299e-03      -1.600001915377e+04      -1.607117316576e+04       5.989299314164e-03      -1.605709149119e+04       6.134419478888e-02       6.134419478888e-02 
       1.278504324023e-01       5.281930404593e-03      -1.657559241466e+04      -1.664247500922e+04       5.797993396741e-03      -1.662886406442e+04       5.944043851062e-02       5.944043851062e-02 
