# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f          
       9.326212236469e+13       8.690421916660e-26       4.969479050487e-09       1.876527863761e+22       1.537679974286e+04       1.648772229602e-10       1.434072979196e+18       2.869390457363e-09       2.083142168447e+44       2.211263828715e+33       1.105631914358e+34       1.438214363750e+44       3.521356532330e+44       5.891835462332e-07       1.433565615564e+01 
       9.261382558559e+13       8.812513654167e-26       5.004039849155e-09       1.850529771008e+22       1.537679974286e+04       1.660313635209e-10       1.424104249450e+18       2.889476190564e-09       2.025820810155e+44       2.165469894108e+33       1.082734947054e+34       1.398639339974e+44       3.424460150258e+44       6.481019008565e-07       1.303241468694e+01 
       9.197003533823e+13       8.936320658495e-26       5.040419637226e-09       1.824891865194e+22       1.537679974286e+04       1.671935830656e-10       1.414204815740e+18       2.909702523898e-09       1.970076750890e+44       2.120624324151e+33       1.060312162076e+34       1.360153293297e+44       3.330230044314e+44       7.070202554798e-07       1.194638012970e+01 
       9.133072029615e+13       9.061867027426e-26       5.074980435893e-09       1.799609156160e+22       1.537679974286e+04       1.683639381470e-10       1.404374196365e+18       2.930070441565e-09       1.915866588467e+44       2.076707478787e+33       1.038353739393e+34       1.322726258581e+44       3.238592847172e+44       7.659386101030e-07       1.102742781203e+01 
       9.069584935070e+13       9.189177197294e-26       5.111360223964e-09       1.774676722880e+22       1.537679974286e+04       1.695424857140e-10       1.394611912975e+18       2.950580934656e-09       1.863148114988e+44       2.033700124691e+33       1.016850062345e+34       1.286329095228e+44       3.149477210339e+44       8.248569647263e-07       1.023975439688e+01 
       9.006539160943e+13       9.318275947738e-26       5.145921022631e-09       1.750089712509e+22       1.537679974286e+04       1.707292831140e-10       1.384917490541e+18       2.971235001199e-09       1.811880283983e+44       1.991583426850e+33       9.957917134251e+33       1.250933464499e+44       3.062813748602e+44       8.837753193496e-07       9.557104103757e+00 
       8.943931639467e+13       9.449188406528e-26       5.182300810702e-09       1.725843339434e+22       1.537679974286e+04       1.719243880958e-10       1.375290457339e+18       2.992033646207e-09       1.762023178446e+44       1.950338940313e+33       9.751694701566e+33       1.216511807445e+44       2.978534986008e+44       9.426936739728e-07       8.959785097272e+00 
       8.881759324197e+13       9.581940054451e-26       5.218680598773e-09       1.701932884342e+22       1.537679974286e+04       1.731278588125e-10       1.365730344925e+18       3.012977881730e-09       1.713537979758e+44       1.909948602112e+33       9.549743010559e+33       1.183037323447e+44       2.896575303320e+44       1.001612028596e-06       8.432738915079e+00 
       8.820019189868e+13       9.716556730276e-26       5.255060386844e-09       1.678353693305e+22       1.537679974286e+04       1.743397538242e-10       1.356236688108e+18       3.034068726902e-09       1.666386937466e+44       1.870394723352e+33       9.351973616759e+33       1.150483949358e+44       2.816870886936e+44       1.060530383219e-06       7.964253419796e+00 
       8.758708232243e+13       9.853064635779e-26       5.291440174915e-09       1.655101176871e+22       1.537679974286e+04       1.755601321010e-10       1.346809024934e+18       3.055307207990e-09       1.620533339885e+44       1.831659981464e+33       9.158299907322e+33       1.118826339200e+44       2.739359679195e+44       1.119448737843e-06       7.545082187175e+00 
       8.697823467967e+13       9.991490340847e-26       5.329638952389e-09       1.632170809173e+22       1.537679974286e+04       1.767890530257e-10       1.337446896657e+18       3.076694358446e-09       1.575941485518e+44       1.793727412621e+33       8.968637063106e+33       1.088039844439e+44       2.663981330064e+44       1.178367092466e-06       7.167828077816e+00 
       8.637361934426e+13       1.013186078865e-25       5.366018740460e-09       1.609558127047e+22       1.537679974286e+04       1.780265763968e-10       1.328149847723e+18       3.098231218955e-09       1.532576655259e+44       1.756580404304e+33       8.782902021521e+33       1.058100494785e+44       2.590677150149e+44       1.237285447089e-06       6.826502931253e+00 
       8.577320689599e+13       1.027420330086e-25       5.404217517935e-09       1.587258729161e+22       1.537679974286e+04       1.792727624316e-10       1.318917425743e+18       3.119918837488e-09       1.490405085360e+44       1.720202688031e+33       8.601013440155e+33       1.028984979536e+44       2.519390064999e+44       1.296203801712e-06       6.516207343469e+00 
       8.517696811915e+13       1.041854558304e-25       5.442416295409e-09       1.565268275163e+22       1.537679974286e+04       1.805276717686e-10       1.309749181472e+18       3.141758269350e-09       1.449393941140e+44       1.684578332229e+33       8.422891661145e+33       1.000670629424e+44       2.450064570666e+44       1.355122156335e-06       6.232893980709e+00 
       8.458487400115e+13       1.056491572993e-25       5.480615072884e-09       1.543582484834e+22       1.537679974286e+04       1.817913654710e-10       1.300644668791e+18       3.163750577235e-09       1.409511291427e+44       1.649691735259e+33       8.248458676296e+33       9.731353989678e+43       2.382646690494e+44       1.414040510959e-06       5.973190064846e+00 
       8.399689573103e+13       1.071334223102e-25       5.518813850358e-09       1.522197137253e+22       1.537679974286e+04       1.830639050293e-10       1.291603444678e+18       3.185896831276e-09       1.370726083688e+44       1.615527618583e+33       8.077638092915e+33       9.463578493044e+43       2.317083933089e+44       1.472958865582e-06       5.734262462252e+00 
       8.341300469814e+13       1.086385397603e-25       5.557012627833e-09       1.501108069978e+22       1.537679974286e+04       1.843453523645e-10       1.282625069194e+18       3.208198109095e-09       1.333008119857e+44       1.582071020071e+33       7.910355100356e+33       9.203171315009e+43       2.253325251453e+44       1.531877220205e-06       5.513713906012e+00 
       8.283317249071e+13       1.101648026053e-25       5.595211405307e-09       1.480311178236e+22       1.537679974286e+04       1.856357698311e-10       1.273709105456e+18       3.230655495858e-09       1.296328032822e+44       1.549307287451e+33       7.746536437255e+33       8.949929703194e+43       2.191321003234e+44       1.590795574828e-06       5.309502279863e+00 
       8.225737089444e+13       1.117125079171e-25       5.635229172185e-09       1.459802414120e+22       1.537679974286e+04       1.869352202199e-10       1.264855119618e+18       3.253270084329e-09       1.260657263558e+44       1.517222071890e+33       7.586110359448e+33       8.703656484313e+43       2.131022912080e+44       1.649713929451e-06       5.119877198439e+00 
       8.168557189121e+13       1.132819569409e-25       5.673427949660e-09       1.439577785807e+22       1.537679974286e+04       1.882437667614e-10       1.256062680852e+18       3.276042974919e-09       1.225968038894e+44       1.485801321710e+33       7.429006608548e+33       8.464159910651e+43       2.072384030048e+44       1.708632284075e-06       4.943329708838e+00 
       8.111774765760e+13       1.148734551539e-25       5.713445716538e-09       1.419633356778e+22       1.537679974286e+04       1.895614731288e-10       1.247331361323e+18       3.298975275743e-09       1.192233349885e+44       1.455031276235e+33       7.275156381176e+33       8.231253510774e+43       2.015358701050e+44       1.767550638698e-06       4.778552051876e+00 
       8.055387056366e+13       1.164873123254e-25       5.753463483416e-09       1.399965245051e+22       1.537679974286e+04       1.908884034407e-10       1.238660736170e+18       3.322068102673e-09       1.159426930788e+44       1.424898459766e+33       7.124492298832e+33       8.004755944341e+43       1.959902525308e+44       1.826468993321e-06       4.624405211493e+00 
       7.999391317146e+13       1.181238425762e-25       5.793481250294e-09       1.380569622425e+22       1.537679974286e+04       1.922246222648e-10       1.230050383485e+18       3.345322579392e-09       1.127523238606e+44       1.395389675676e+33       6.976948378381e+33       7.784490860910e+43       1.905972324781e+44       1.885387347944e-06       4.479892548634e+00 
       7.943784823382e+13       1.197833644406e-25       5.835318006575e-09       1.361442713740e+22       1.537679974286e+04       1.935701946206e-10       1.221499884295e+18       3.368739837447e-09       1.096497433204e+44       1.366492000632e+33       6.832460003161e+33       7.570286762638e+43       1.853526109550e+44       1.944305702567e-06       4.344138228978e+00 
       7.888564869297e+13       1.214662009276e-25       5.875335773453e-09       1.342580796135e+22       1.537679974286e+04       1.949251859829e-10       1.213008822538e+18       3.392321016309e-09       1.066325357967e+44       1.338192778936e+33       6.690963894679e+33       7.361976870749e+43       1.802523045122e+44       2.003224057191e-06       4.216369457538e+00 
       7.833728767921e+13       1.231726795844e-25       5.917172529735e-09       1.323980198329e+22       1.537679974286e+04       1.962896622848e-10       1.204576785042e+18       3.416067263423e-09       1.036983520993e+44       1.310479616981e+33       6.552398084905e+33       7.159398995680e+43       1.752923420639e+44       2.062142411814e-06       4.095901758751e+00 
       7.779273850965e+13       1.249031325599e-25       5.959009286016e-09       1.305637299903e+22       1.537679974286e+04       1.976636899208e-10       1.196203361512e+18       3.439979734267e-09       1.008449076800e+44       1.283340377825e+33       6.416701889127e+33       6.962395410803e+43       1.704688617958e+44       2.121060766437e-06       3.982126709897e+00 
       7.725197468684e+13       1.266578966692e-25       5.999027052894e-09       1.287548530597e+22       1.537679974286e+04       1.990473357503e-10       1.187888144500e+18       3.464059592407e-09       9.806998085426e+43       1.256763175875e+33       6.283815879377e+33       6.770812729620e+43       1.657781081580e+44       2.179979121060e-06       3.874501663683e+00 
       7.671496989756e+13       1.284373134595e-25       6.042682798579e-09       1.269710369615e+22       1.537679974286e+04       2.004406671005e-10       1.179630729394e+18       3.488308009553e-09       9.537141107086e+43       1.230736371681e+33       6.153681858404e+33       6.584501786331e+43       1.612164289416e+44       2.238897475683e-06       3.772541093586e+00 
       7.618169801148e+13       1.302417292763e-25       6.084519554861e-09       1.252119344938e+22       1.537679974286e+04       2.018437517702e-10       1.171430714394e+18       3.512726165620e-09       9.274709723012e+43       1.205248566838e+33       6.026242834189e+33       6.403317519703e+43       1.567802724344e+44       2.297815830306e-06       3.675809270674e+00 
       7.565213307992e+13       1.320714953309e-25       6.126356311142e-09       1.234772032651e+22       1.537679974286e+04       2.032566580326e-10       1.163287700490e+18       3.537315248779e-09       9.019499604785e+43       1.180288598996e+33       5.901442994979e+33       6.227118860116e+43       1.524661846561e+44       2.356734184930e-06       3.583914038907e+00 
       7.512624933457e+13       1.339269677688e-25       6.170012056828e-09       1.217665056276e+22       1.537679974286e+04       2.046794546388e-10       1.155201291450e+18       3.562076455520e-09       8.771312046443e+43       1.155845536970e+33       5.779227684852e+33       6.055768619735e+43       1.482708066687e+44       2.415652539553e-06       3.496501501373e+00 
       7.460402118627e+13       1.358085077390e-25       6.213667802513e-09       1.200795086111e+22       1.537679974286e+04       2.061122108213e-10       1.147171093794e+18       3.587010990709e-09       8.529953809772e+43       1.131908675955e+33       5.659543379777e+33       5.889133385690e+43       1.441908719614e+44       2.474570894176e-06       3.413251465626e+00 
       7.408542322370e+13       1.377164814642e-25       6.255504558794e-09       1.184158838588e+22       1.537679974286e+04       2.075549962971e-10       1.139196716776e+18       3.612120067644e-09       8.295236973852e+43       1.108467532834e+33       5.542337664171e+33       5.727083416202e+43       1.402232039072e+44       2.533489248799e-06       3.333873524565e+00 
       7.357043021222e+13       1.396512603123e-25       6.300979293883e-09       1.167753075629e+22       1.537679974286e+04       2.090078812711e-10       1.131277772370e+18       3.637404908117e-09       8.066978788740e+43       1.085511841589e+33       5.427559207947e+33       5.569492539572e+43       1.363647132896e+44       2.592407603422e-06       3.258103671734e+00 
       7.305901709257e+13       1.416132208684e-25       6.344635039568e-09       1.151574604017e+22       1.537679974286e+04       2.104709364400e-10       1.123413875243e+18       3.662866742473e-09       7.845001533182e+43       1.063031548807e+33       5.315157744035e+33       5.416238055934e+43       1.326123958975e+44       2.651325958045e-06       3.185701367918e+00 
       7.255115897971e+13       1.436027450084e-25       6.388290785253e-09       1.135620274777e+22       1.537679974286e+04       2.119442329951e-10       1.115604642744e+18       3.688506809670e-09       7.629132376241e+43       1.041016809273e+33       5.205084046363e+33       5.267200641731e+43       1.289633301860e+44       2.710244312669e-06       3.116446990354e+00 
       7.204683116158e+13       1.456202199730e-25       6.433765520342e-09       1.119886982559e+22       1.537679974286e+04       2.134278426261e-10       1.107849694879e+18       3.714326357338e-09       7.419203242731e+43       1.019457981660e+33       5.097289908301e+33       5.122264256804e+43       1.254146750015e+44       2.769162667292e-06       3.050139607581e+00 
       7.154600909790e+13       1.476660384434e-25       6.479240255430e-09       1.104371665037e+22       1.537679974286e+04       2.149218375245e-10       1.100148654299e+18       3.740326641839e-09       7.215050682352e+43       9.983456243105e+32       4.991728121552e+33       4.981316054045e+43       1.219636673700e+44       2.828081021915e-06       2.986595032423e+00 
       7.104866841896e+13       1.497405986174e-25       6.522896001115e-09       1.089071302311e+22       1.537679974286e+04       2.164262903871e-10       1.092501146275e+18       3.766508928332e-09       7.016515742429e+43       9.776704910943e+32       4.888352455472e+33       4.844246291535e+43       1.186076203455e+44       2.886999376538e-06       2.925644113394e+00 
       7.055478492449e+13       1.518443042874e-25       6.570189725608e-09       1.073982916320e+22       1.537679974286e+04       2.179412744198e-10       1.084906798685e+18       3.792874490830e-09       6.823443844155e+43       9.574235273648e+32       4.787117636824e+33       4.710948247100e+43       1.153439209183e+44       2.945917731161e-06       2.867131231126e+00 
       7.006433458242e+13       1.539775649183e-25       6.615664460696e-09       1.059103570262e+22       1.537679974286e+04       2.194668633408e-10       1.077365241991e+18       3.819424612265e-09       6.635684662230e+43       9.375958659913e+32       4.687979329957e+33       4.581318135214e+43       1.121700279801e+44       3.004836085784e-06       2.810912971692e+00 
       6.957729352772e+13       1.561407957279e-25       6.661139195785e-09       1.044430368022e+22       1.537679974286e+04       2.210031313842e-10       1.069876109226e+18       3.846160584551e-09       6.453092007824e+43       9.181788234760e+32       4.590894117380e+33       4.455255026196e+43       1.090834703457e+44       3.063754440408e-06       2.756856953006e+00 
       6.909363806129e+13       1.583344177670e-25       6.708432920277e-09       1.029960453609e+22       1.537679974286e+04       2.225501533039e-10       1.062439035974e+18       3.873083708642e-09       6.275523714753e+43       8.991638961508e+32       4.495819480754e+33       4.332660767623e+43       1.060818448292e+44       3.122672795031e-06       2.704840784082e+00 
       6.861334464875e+13       1.605588580022e-25       6.755726644769e-09       1.015691010601e+22       1.537679974286e+04       2.241080043770e-10       1.055053660352e+18       3.900195294603e-09       6.102841528786e+43       8.805427564539e+32       4.402713782270e+33       4.213439907913e+43       1.031628143723e+44       3.181591149654e-06       2.654751139932e+00 
       6.813638991932e+13       1.628145493983e-25       6.803020369262e-09       1.001619261595e+22       1.537679974286e+04       2.256767604076e-10       1.047719622991e+18       3.927496661665e-09       5.934911000004e+43       8.623072492820e+32       4.311536246410e+33       4.097499622000e+43       1.003241062252e+44       3.240509504277e-06       2.606482937388e+00 
       6.766275066466e+13       1.651019310028e-25       6.850314093754e-09       9.877424676671e+21       1.537679974286e+04       2.272564977305e-10       1.040436567022e+18       3.954989138296e-09       5.771601378117e+43       8.444493884189e+32       4.222246942095e+33       3.984749639069e+43       9.756351017692e+43       3.299427858900e-06       2.559938599220e+00 
       6.719240383780e+13       1.674214480314e-25       6.897607818246e-09       9.740579278391e+21       1.537679974286e+04       2.288472932146e-10       1.033204138055e+18       3.982674062264e-09       5.612785510661e+43       8.269613530385e+32       4.134806765192e+33       3.875102172262e+43       9.487887683419e+43       3.358346213523e-06       2.515027395725e+00 
       6.672532655193e+13       1.697735519548e-25       6.946720532142e-09       9.605629785536e+21       1.537679974286e+04       2.304492242671e-10       1.026021984166e+18       4.010552780699e-09       5.458339743996e+43       8.098354842789e+32       4.049177421394e+33       3.768471850337e+43       9.226811594820e+43       3.417264568147e-06       2.471664854420e+00 
       6.626149607938e+13       1.721587005862e-25       6.995833246037e-09       9.472549931549e+21       1.537679974286e+04       2.320623688370e-10       1.018889755875e+18       4.038626650164e-09       5.308143827036e+43       7.930642818887e+32       3.965321409444e+33       3.664775651191e+43       8.972919478703e+43       3.476182922770e-06       2.429772229769e+00 
       6.580088985043e+13       1.745773581707e-25       7.044945959933e-09       9.341313813781e+21       1.537679974286e+04       2.336868054188e-10       1.011807106132e+18       4.066897036715e-09       5.162080817613e+43       7.766404009423e+32       3.883202004712e+33       3.563932837222e+43       8.726013655301e+43       3.535101277393e-06       2.389276025940e+00 
       6.534348545226e+13       1.770299954756e-25       7.094058673829e-09       9.211895888446e+21       1.537679974286e+04       2.353226130567e-10       1.004773690300e+18       4.095365315971e-09       5.020036991434e+43       7.605566486230e+32       3.802783243115e+33       3.465864892466e+43       8.485901884357e+43       3.594019632016e-06       2.350107566498e+00 
       6.488926062786e+13       1.795170898821e-25       7.143171387725e-09       9.084270965651e+21       1.537679974286e+04       2.369698713481e-10       9.977891661370e+17       4.124032873183e-09       4.881901753529e+43       7.448059810728e+32       3.724029905364e+33       3.370495461467e+43       8.252397215443e+43       3.652937986639e-06       2.312202605748e+00 
       6.443819327494e+13       1.820391254778e-25       7.192284101620e-09       8.958414204494e+21       1.537679974286e+04       2.386286604476e-10       9.908531937806e+17       4.152901103295e-09       4.747567552147e+43       7.293815003079e+32       3.646907501540e+33       3.277750289824e+43       8.025317842408e+43       3.711856341262e-06       2.275500977086e+00 
       6.399026144483e+13       1.845965931516e-25       7.243215804920e-09       8.834301108226e+21       1.537679974286e+04       2.402990610707e-10       9.839654357305e+17       4.181971411017e-09       4.616929795014e+43       7.142764511976e+32       3.571382255988e+33       3.187557166376e+43       7.804486961819e+43       3.770774695886e-06       2.239946274319e+00 
       6.354544334144e+13       1.871899906888e-25       7.294147508219e-09       8.711907519487e+21       1.537679974286e+04       2.419811544982e-10       9.771255568326e+17       4.211245210894e-09       4.489886767898e+43       6.994842185058e+32       3.497421092529e+33       3.099845866985e+43       7.589732635302e+43       3.829693050509e-06       2.205485562406e+00 
       6.310371732019e+13       1.898198228679e-25       7.345079211518e-09       8.591209615599e+21       1.537679974286e+04       2.436750225797e-10       9.703332242628e+17       4.240723927370e-09       4.366339555416e+43       6.849983239939e+32       3.424991619969e+33       3.014548099850e+43       7.380887655676e+43       3.888611405132e-06       2.172069114491e+00 
       6.266506188699e+13       1.924866015594e-25       7.396010914817e-09       8.472183903934e+21       1.537679974286e+04       2.453807477378e-10       9.635881075102e+17       4.270408994861e-09       4.246191964015e+43       6.708124235837e+32       3.354062117918e+33       2.931597452343e+43       7.177789416760e+43       3.947529759755e-06       2.139650172484e+00 
       6.222945569711e+13       1.951908458247e-25       7.448761607520e-09       8.354807217339e+21       1.537679974286e+04       2.470984129719e-10       9.568898783617e+17       4.300301857825e-09       4.129350447082e+43       6.569203045791e+32       3.284601522895e+33       2.850929339296e+43       6.980279786773e+43       4.006448114378e-06       2.108184728771e+00 
       6.179687755423e+13       1.979330820177e-25       7.499693310820e-09       8.239056709628e+21       1.537679974286e+04       2.488281018627e-10       9.502382108855e+17       4.330403970829e-09       4.015724032103e+43       6.433158829451e+32       3.216579414725e+33       2.772480952720e+43       6.788204985208e+43       4.065366469002e-06       2.077631326905e+00 
       6.136730640936e+13       2.007138438869e-25       7.552444003522e-09       8.124909851131e+21       1.537679974286e+04       2.505698985758e-10       9.436327814156e+17       4.360716798625e-09       3.905224249834e+43       6.299932006434e+32       3.149966003217e+33       2.696191212894e+43       6.601415463106e+43       4.124284823625e-06       2.047950879378e+00 
       6.094072135984e+13       2.035336726797e-25       7.605194696225e-09       8.012344424315e+21       1.537679974286e+04       2.523238878658e-10       9.370732685358e+17       4.391241816215e-09       3.797765065421e+43       6.169464230231e+32       3.084732115116e+33       2.622000720819e+43       6.419765786610e+43       4.183203178248e-06       2.019106500796e+00 
       6.051710164830e+13       2.063931172471e-25       7.659764378332e-09       7.901338519457e+21       1.537679974286e+04       2.540901550808e-10       9.305593530643e+17       4.421980508928e-09       3.693262811410e+43       6.041698362654e+32       3.020849181327e+33       2.549851711962e+43       6.243114523735e+43       4.242121532871e-06       1.991063354951e+00 
       6.009642666167e+13       2.092927341513e-25       7.712515071034e-09       7.791870530377e+21       1.537679974286e+04       2.558687861664e-10       9.240907180381e+17       4.452934372490e-09       3.591636122609e+43       5.916578448810e+32       2.958289224405e+33       2.479688011285e+43       6.071324134249e+43       4.301039887495e-06       1.963788514473e+00 
       5.967867593016e+13       2.122330877734e-25       7.767084753141e-09       7.683919150237e+21       1.537679974286e+04       2.576598676696e-10       9.176670486972e+17       4.484104913097e-09       3.492805872730e+43       5.794049692602e+32       2.897024846301e+33       2.411454989506e+43       5.904260862583e+43       4.359958242118e-06       1.937250831845e+00 
       5.926382912628e+13       2.152147504235e-25       7.821654435247e-09       7.577463367390e+21       1.537679974286e+04       2.594634867433e-10       9.112880324699e+17       4.515493647488e-09       3.396695112788e+43       5.674058432723e+32       2.837029216361e+33       2.345099520564e+43       5.741794633692e+43       4.418876596741e-06       1.911420820754e+00 
       5.885186606383e+13       2.182383024521e-25       7.876224117354e-09       7.472482461293e+21       1.537679974286e+04       2.612797311505e-10       9.049533589572e+17       4.547102103020e-09       3.303229011184e+43       5.556552119162e+32       2.778276059581e+33       2.280569940256e+43       5.583798951774e+43       4.477794951364e-06       1.886270546797e+00 
