# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.29043e-06 to 1.17881 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       9.290433981453e-06      -1.377610997142e-03      -1.033724091779e-03      -1.033724114518e-03      -1.377592795266e-03      -1.033821946020e-03       6.001555783221e-01       5.999760402317e-01 
       1.169596342585e-05      -2.182727462895e-03      -1.638341157171e-03      -1.638341214286e-03      -2.182681753059e-03      -1.638496079858e-03       6.001550510595e-01       5.999755891988e-01 
       1.472434557221e-05      -3.457785808156e-03      -2.596592935695e-03      -2.596593079152e-03      -3.457671037326e-03      -2.596838055219e-03       6.001542152761e-01       5.999748741423e-01 
       1.853685281290e-05      -5.476194210635e-03      -4.115315408899e-03      -4.115315769211e-03      -5.475906098561e-03      -4.115702851895e-03       6.001528912060e-01       5.999737413282e-01 
       2.333651506085e-05      -8.669076765852e-03      -6.522317645877e-03      -6.522318550775e-03      -8.668353788007e-03      -6.522929078612e-03       6.001507930765e-01       5.999719459646e-01 
       2.937893183282e-05      -1.371421163638e-02      -1.033713230742e-02      -1.033713457974e-02      -1.371239850982e-02      -1.033809478446e-02       6.001474692680e-01       5.999691011792e-01 
       3.698588385570e-05      -2.167203140256e-02      -1.638313881474e-02      -1.638314451997e-02      -2.166748852085e-02      -1.638464775422e-02       6.001422053978e-01       5.999645944968e-01 
       4.656246906361e-05      -3.418885168945e-02      -2.596524442267e-02      -2.596525874335e-02      -3.417748601236e-02      -2.596759468672e-02       6.001338711864e-01       5.999574552543e-01 
       5.861867554006e-05      -5.378855938897e-02      -4.115143461815e-02      -4.115147054933e-02      -5.376019079451e-02      -4.115505657619e-02       6.001206885485e-01       5.999461537473e-01 
       7.379654024310e-05      -8.426061754797e-02      -6.521886103146e-02      -6.521895112348e-02      -8.419007387978e-02      -6.522434535728e-02       6.000998538674e-01       5.999282686258e-01 
       9.290433981453e-05      -1.310965827962e-01      -1.033604979110e-01      -1.033607235679e-01      -1.309221980218e-01      -1.033685566857e-01       6.000669824172e-01       5.998999929314e-01 
       1.169596342585e-04      -2.017652933757e-01      -1.638042545305e-01      -1.638048188006e-01      -2.013382628158e-01      -1.638154750919e-01       6.000152540647e-01       5.998553535198e-01 
       1.472434557221e-04      -3.052221896724e-01      -2.595845170070e-01      -2.595859243261e-01      -3.041921101947e-01      -2.595985538734e-01       5.999341802524e-01       5.997850395703e-01 
       1.853685281290e-04      -4.492440408883e-01      -4.113446191055e-01      -4.113481146225e-01      -4.468186345383e-01      -4.113580319379e-01       5.998079023670e-01       5.996746749216e-01 
       2.333651506085e-04      -6.330056990963e-01      -6.517657805053e-01      -6.517744069865e-01      -6.275137452950e-01      -6.517669917043e-01       5.996130605801e-01       5.995023946750e-01 
       2.937893183282e-04      -8.322261994028e-01      -1.032556378656e+00      -1.032577455665e+00      -8.205617462630e-01      -1.032515587573e+00       5.993165554664e-01       5.992357157612e-01 
       3.698588385570e-04      -9.813093049689e-01      -1.635459617366e+00      -1.635510328875e+00      -9.590576358643e-01      -1.635313170526e+00       5.988739335235e-01       5.988280728987e-01 
       4.656246906361e-04      -9.839023186095e-01      -2.589544768570e+00      -2.589663982316e+00      -9.487520785744e-01      -2.589183187979e+00       5.982290059811e-01       5.982160755202e-01 
       5.861867554006e-04      -8.200184873347e-01      -4.098282041827e+00      -4.098552903277e+00      -7.816238255476e-01      -4.097570552946e+00       5.973125893207e-01       5.973187610811e-01 
       7.379654024310e-04      -7.079524885100e-01      -6.481770449644e+00      -6.482356969949e+00      -6.935712058699e-01      -6.480614728558e+00       5.960318708451e-01       5.960370844903e-01 
       9.290433981453e-04      -8.322463700264e-01      -1.024223548036e+01      -1.024342653043e+01      -8.469119580932e-01      -1.024055225850e+01       5.942444895787e-01       5.942426859364e-01 
       1.169596342585e-03      -7.895890483634e-01      -1.616475695815e+01      -1.616698996605e+01      -7.772355509311e-01      -1.616224152695e+01       5.917480022078e-01       5.917484866863e-01 
       1.472434557221e-03      -8.183718728194e-01      -2.547013587602e+01      -2.547396760052e+01      -8.015968937749e-01      -2.546631258144e+01       5.882967572001e-01       5.882963778302e-01 
       1.853685281290e-03      -7.332490658367e-01      -4.004516555923e+01      -4.005128854641e+01      -7.349142700554e-01      -4.003908236868e+01       5.835952026391e-01       5.835956201427e-01 
       2.333651506085e-03      -7.804744977337e-01      -6.278062371051e+01      -6.279041642711e+01      -7.619304371830e-01      -6.277114050255e+01       5.772790744437e-01       5.772791287621e-01 
       2.937893183282e-03      -7.651326037050e-01      -9.805830359307e+01      -9.807522601017e+01      -7.443918948402e-01      -9.804471882900e+01       5.689169165186e-01       5.689169554590e-01 
       3.698588385570e-03      -7.304293360836e-01      -1.524343004131e+02      -1.524646635766e+02      -7.262298443522e-01      -1.524164349112e+02       5.580276393723e-01       5.580276747909e-01 
       4.656246906361e-03      -7.309306006573e-01      -2.355521816513e+02      -2.356078720498e+02      -7.253221738504e-01      -2.355317687318e+02       5.440922886004e-01       5.440922886004e-01 
       5.861867554006e-03      -7.073583235950e-01      -3.612706817326e+02      -3.613790205598e+02      -7.019306752232e-01      -3.612583558425e+02       5.265514734654e-01       5.265514734654e-01 
       7.379654024310e-03      -6.782024723213e-01      -5.489320345477e+02      -5.491516075191e+02      -6.729985092651e-01      -5.489589786157e+02       5.048504316550e-01       5.048504316550e-01 
       9.290433981453e-03      -6.426950101390e-01      -8.243419416402e+02      -8.248045370225e+02      -6.377634874087e-01      -8.244929813064e+02       4.784204597739e-01       4.784204597739e-01 
       1.169596342585e-02      -6.000734589355e-01      -1.219592535472e+03      -1.220591671362e+03      -5.954689780359e-01      -1.220078102315e+03       4.466942653348e-01       4.466942653348e-01 
       1.472434557221e-02      -5.496375884957e-01      -1.769862130158e+03      -1.772036593489e+03      -5.454201270524e-01      -1.771170289337e+03       4.091504562420e-01       4.091504562420e-01 
       1.853685280778e-02      -4.909949251723e-01      -2.504448260393e+03      -2.509113329659e+03      -4.872274567285e-01      -2.507622324250e+03       3.654978565978e-01       3.654978565978e-01 
       2.333650599926e-02      -4.247464743877e-01      -3.431067475350e+03      -3.440659674057e+03      -4.214873612980e-01      -3.438082666017e+03       3.161836069494e-01       3.161836069494e-01 
       2.937643498675e-02      -3.538525863144e-01      -4.524926861257e+03      -4.543085922590e+03      -3.511374666543e-01      -4.538767844869e+03       2.634113496036e-01       2.634113496036e-01 
       3.683557048130e-02      -2.861685688643e-01      -5.748318268680e+03      -5.777898776146e+03      -2.839728064768e-01      -5.771326336493e+03       2.130274272444e-01       2.130274272444e-01 
       4.434178586148e-02      -2.387303369862e-01      -6.947581583976e+03      -6.984957201100e+03      -2.368985646386e-01      -6.976742518981e+03       1.777137469218e-01       1.777137469218e-01 
       4.976198883977e-02      -2.148039477423e-01      -7.875833873404e+03      -7.914693989410e+03      -2.131557538900e-01      -7.905967440010e+03       1.599021305355e-01       1.599021305355e-01 
       5.400256597056e-02      -2.003779682492e-01      -8.656533216519e+03      -8.694247048085e+03      -1.988404585834e-01      -8.685489701202e+03       1.491626892851e-01       1.491626892851e-01 
       5.768420360715e-02      -1.899138830852e-01      -9.365528409756e+03      -9.401200734421e+03      -1.884566570418e-01      -9.392582407331e+03       1.413728127640e-01       1.413728127640e-01 
       6.106384595966e-02      -1.813782006907e-01      -1.002721577970e+04      -1.006079051772e+04      -1.799864646025e-01      -1.005233403019e+04       1.350185035873e-01       1.350185035873e-01 
       6.426853258670e-02      -1.738289144367e-01      -1.064805599107e+04      -1.068001525275e+04      -1.724951013827e-01      -1.067165176024e+04       1.293985957227e-01       1.293985957227e-01 
       6.737082720743e-02      -1.667647624943e-01      -1.122738644786e+04      -1.125860459495e+04      -1.654851531414e-01      -1.125019997305e+04       1.241398363879e-01       1.241398363879e-01 
       7.041670570241e-02      -1.599065026093e-01      -1.176199178936e+04      -1.179362851922e+04      -1.586795172776e-01      -1.178500193465e+04       1.190345232537e-01       1.190345232537e-01 
       7.343766661141e-02      -1.531055112608e-01      -1.224838481853e+04      -1.228178084472e+04      -1.519307117925e-01      -1.227272224400e+04       1.139719169045e-01       1.139719169045e-01 
       7.645667195151e-02      -1.463010052510e-01      -1.268448296451e+04      -1.272104642079e+04      -1.451784185816e-01      -1.271133509024e+04       1.089068191000e-01       1.089068191000e-01 
       7.949134213434e-02      -1.394958205076e-01      -1.307078194830e+04      -1.311186060484e+04      -1.384254561607e-01      -1.310128576464e+04       1.038410201032e-01       1.038410201032e-01 
       8.255580086221e-02      -1.327389746349e-01      -1.341134431640e+04      -1.345808843971e+04      -1.317204565883e-01      -1.344647111835e+04       9.881157446051e-02       9.881157446051e-02 
       8.566180233117e-02      -1.261142404481e-01      -1.371433108146e+04      -1.376755768337e+04      -1.251465603180e-01      -1.375477220898e+04       9.388012787654e-02       9.388012787654e-02 
       8.881945213576e-02      -1.197244677698e-01      -1.399226495100e+04      -1.405233086857e+04      -1.188058184058e-01      -1.403832481145e+04       8.912381985024e-02       8.912381985024e-02 
       9.203768594175e-02      -1.136796284589e-01      -1.426159202405e+04      -1.432829703622e+04      -1.128073552677e-01      -1.431310626278e+04       8.462471111627e-02       8.462471111627e-02 
       9.532459732153e-02      -1.080839832064e-01      -1.454157066854e+04      -1.461411066053e+04      -1.072546546176e-01      -1.459786635025e+04       8.045890350879e-02       8.045890350879e-02 
       9.868766809922e-02      -1.030168029622e-01      -1.485259360257e+04      -1.492957688384e+04      -1.022263604930e-01      -1.491250248300e+04       7.668659237204e-02       7.668659237204e-02 
       1.021339336108e-01      -9.852397782770e-02      -1.521372987961e+04      -1.529327860864e+04      -9.776800416639e-02      -1.527567327873e+04       7.334236812193e-02       7.334236812193e-02 
       1.056701032574e-01      -9.460933716198e-02      -1.563963074038e+04      -1.571956996427e+04      -9.388341791519e-02      -1.570177828743e+04       7.042701187116e-02       7.042701187116e-02 
       1.093026495675e-01      -9.122117886620e-02      -1.613797472392e+04      -1.621610836395e+04      -9.052123686179e-02      -1.619847626371e+04       6.790589374363e-02       6.790589374363e-02 
       1.130378745847e-01      -8.826687508163e-02      -1.670612092731e+04      -1.678056726476e+04      -8.758959929183e-02      -1.676338894810e+04       6.570653124533e-02       6.570653124533e-02 
       1.168819596255e-01      -8.560866160992e-02      -1.733011104535e+04      -1.739965771450e+04      -8.495177999535e-02      -1.738311964205e+04       6.372758128694e-02       6.372758128694e-02 
       1.208410026664e-01      -8.308532356944e-02      -1.798440337190e+04      -1.804881858470e+04      -8.244780201034e-02      -1.803295082168e+04       6.184902289458e-02       6.184902289458e-02 
       1.249210464505e-01      -8.053359454957e-02      -1.863447755321e+04      -1.869470539104e+04      -7.991565020074e-02      -1.867935156680e+04       5.994945699256e-02       5.994945699256e-02 
       1.291280996323e-01      -7.781526105274e-02      -1.924200160410e+04      -1.930016309660e+04      -7.721817436018e-02      -1.928498130898e+04       5.792584634310e-02       5.792584634310e-02 
       1.334681527625e-01      -7.484297107111e-02      -1.977255251139e+04      -1.983170137039e+04      -7.426868887465e-02      -1.981620384257e+04       5.571342354405e-02       5.571342354405e-02 
       1.379471905738e-01      -7.160002311171e-02      -2.020402249676e+04      -2.026763931355e+04      -7.105062770191e-02      -2.025127331068e+04       5.329927474279e-02       5.329927474279e-02 
       1.425712018006e-01      -6.814689659507e-02      -2.053492106952e+04      -2.060620112174e+04      -6.762399909462e-02      -2.058846195296e+04       5.072884424333e-02       5.072884424333e-02 
       1.473461876190e-01      -6.461274413842e-02      -2.078863841863e+04      -2.086969770184e+04      -6.411696607822e-02      -2.085025415794e+04       4.809813431954e-02       4.809813431954e-02 
       1.522781696963e-01      -6.116907244949e-02      -2.101256939730e+04      -2.110377178602e+04      -6.069971951985e-02      -2.108257160936e+04       4.553475167041e-02       4.553475167041e-02 
       1.573731987814e-01      -5.799185713513e-02      -2.127048651532e+04      -2.137011691660e+04      -5.754688415694e-02      -2.134743669349e+04       4.316968444483e-02       4.316968444483e-02 
       1.626373647296e-01      -5.521319618483e-02      -2.162616593754e+04      -2.173063809749e+04      -5.478954454601e-02      -2.170704857346e+04       4.110122872720e-02       4.110122872720e-02 
