# Matter power spectrum P(k) at redshift z=0
# for k=1.08141e-05 to 1.10652 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.081414390525e-05       3.507188920403e+01 
       1.361420056912e-05       4.415296558564e+01 
       1.713926305772e-05       5.558512850412e+01 
       2.157705380279e-05       6.997730620144e+01 
       2.716390134399e-05       8.809581019936e+01 
       3.419732568541e-05       1.109051372999e+02 
       4.305188232077e-05       1.396194620024e+02 
       5.419910867919e-05       1.757668306640e+02 
       6.823263521282e-05       2.212700284849e+02 
       8.589979838310e-05       2.785478719616e+02 
       1.081414390525e-04       3.506419183377e+02 
       1.361420056912e-04       4.413742087028e+02 
       1.713926305772e-04       5.555423945502e+02 
       2.157705380279e-04       6.991590647888e+02 
       2.716390134399e-04       8.797407842233e+02 
       3.419732568541e-04       1.106649629423e+03 
       4.305188232077e-04       1.391484770900e+03 
       5.419910867919e-04       1.748512344717e+03 
       6.823263521282e-04       2.195112148889e+03 
       8.589979838310e-04       2.752199816838e+03 
       1.081414390525e-03       3.444527463855e+03 
       1.361420056912e-03       4.300612573969e+03 
       1.713926305772e-03       5.351930138155e+03 
       2.157705380279e-03       6.631612943381e+03 
       2.716390134399e-03       8.170797191394e+03 
       3.419732568541e-03       9.993348946885e+03 
       4.305188232077e-03       1.210786273717e+04 
       5.419910867919e-03       1.449579601332e+04 
       6.823263521282e-03       1.709615578917e+04 
       8.589979838310e-03       1.978661847098e+04 
       1.081414390525e-02       2.236082808577e+04 
       1.361420056912e-02       2.450810725365e+04 
       1.713926305768e-02       2.581784988935e+04 
       2.157705354515e-02       2.583915101830e+04 
       2.716372450706e-02       2.427423547391e+04 
       3.417482766411e-02       2.131743420260e+04 
       4.235828132946e-02       1.808386400869e+04 
       4.911392365603e-02       1.613621074569e+04 
       5.404106761198e-02       1.511484434529e+04 
       5.812725656915e-02       1.444732796910e+04 
       6.178657815893e-02       1.392860109335e+04 
       6.520546414208e-02       1.347020905005e+04 
       6.848335026843e-02       1.302389970020e+04 
       7.168018712837e-02       1.256563624675e+04 
       7.483551720865e-02       1.208157418100e+04 
       7.797730021473e-02       1.156717215047e+04 
       8.112645277011e-02       1.102583383939e+04 
       8.429938055451e-02       1.046518644956e+04 
       8.750948319368e-02       9.897984970677e+03 
       9.076809531455e-02       9.337629969588e+03 
       9.408509994183e-02       8.799497559464e+03 
       9.746934222548e-02       8.297795263068e+03 
       1.009289164934e-01       7.843505072374e+03 
       1.044713700965e-01       7.444165870591e+03 
       1.081038509097e-01       7.102649785169e+03 
       1.118332156425e-01       6.816613417793e+03 
       1.156661102385e-01       6.578295217057e+03 
       1.196090299893e-01       6.375764990206e+03 
       1.236683646586e-01       6.191948520781e+03 
       1.278504324023e-01       6.010187064418e+03 
       1.321615052710e-01       5.812810176725e+03 
       1.366078284242e-01       5.587497130836e+03 
       1.411956347420e-01       5.328690558133e+03 
       1.459311562285e-01       5.039595448734e+03 
       1.508206334086e-01       4.732380499843e+03 
       1.558703237950e-01       4.424669497670e+03 
       1.610865104232e-01       4.135660252528e+03 
       1.664755114013e-01       3.881833218870e+03 
       1.720436913931e-01       3.671874852801e+03 
       1.777974759296e-01       3.504927252007e+03 
       1.837433694346e-01       3.370075651605e+03 
       1.898879778384e-01       3.250921473572e+03 
       1.962380366513e-01       3.127004730846e+03 
       2.028004453712e-01       2.982682618078e+03 
       2.095823091146e-01       2.814141332927e+03 
       2.165909883947e-01       2.630946785831e+03 
       2.238341580312e-01       2.450189237993e+03 
       2.313198762787e-01       2.288330386211e+03 
       2.390566654156e-01       2.154876616565e+03 
       2.470536052596e-01       2.048890740035e+03 
       2.553204413946e-01       1.958158494227e+03 
       2.638677103293e-01       1.866876921465e+03 
       2.727068843917e-01       1.764648115161e+03 
       2.818505399467e-01       1.651604267600e+03 
       2.913125535556e-01       1.538525470152e+03 
       3.011083320646e-01       1.438244023650e+03 
       3.112550844175e-01       1.355086675335e+03 
       3.217721454023e-01       1.283700879027e+03 
       3.326813647797e-01       1.213763306607e+03 
       3.440075796382e-01       1.138767186222e+03 
       3.557791938591e-01       1.061878444235e+03 
       3.680288969728e-01       9.905110723901e+02 
       3.807945665515e-01       9.287673010081e+02 
       3.941204152985e-01       8.726943025997e+02 
       4.080584688247e-01       8.166730823705e+02 
       4.226704970224e-01       7.599031573576e+02 
       4.380305779529e-01       7.064034729394e+02 
       4.542285600609e-01       6.579044803525e+02 
       4.713748266740e-01       6.119868359707e+02 
       4.896069924568e-01       5.663111054513e+02 
       5.090995416435e-01       5.224561971115e+02 
       5.300780803807e-01       4.815774329352e+02 
       5.528410754347e-01       4.417043926732e+02 
       5.777942217377e-01       4.028284798541e+02 
       6.055070950444e-01       3.655112166919e+02 
       6.368112411220e-01       3.287087057770e+02 
       6.729801351921e-01       2.924875918423e+02 
       7.160825562778e-01       2.561936109669e+02 
       7.697321674444e-01       2.193333653595e+02 
       8.408046801414e-01       1.810361224947e+02 
       9.434878460919e-01       1.405246518461e+02 
       1.106518962161e+00       9.846764818156e+01 
