# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f          
       1.000000000000e+14       7.558775881778e-26       4.634785000235e-09       2.157468236853e+22       1.321021285723e+04       1.321021285723e-10       1.321021285723e+18       2.676054550085e-09       2.753580214648e+44       2.725992637331e+33       1.635595582399e+34       1.901088978193e+44       4.654669193031e+44       4.379816225909e-20       2.000000000000e+14 
       9.930486593843e+13       7.664969124142e-26       4.667526809499e-09       2.127577895007e+22       1.321021285723e+04       1.330268434723e-10       1.311838416806e+18       2.694786931936e-09       2.677810562215e+44       2.669538980851e+33       1.601723388511e+34       1.848777136920e+44       4.526587699322e+44       6.110381245697e-08       1.433565615564e+02 
       9.861456399050e+13       7.772654275367e-26       4.700268618762e-09       2.098101664719e+22       1.321021285723e+04       1.339580313767e-10       1.302719381138e+18       2.713650440459e-09       2.604125846403e+44       2.614254445405e+33       1.568552667243e+34       1.797904748912e+44       4.402030595499e+44       1.222076249139e-07       7.167828077820e+01 
       9.792906056653e+13       7.881852295281e-26       4.733010428026e-09       2.069033808741e+22       1.321021285723e+04       1.348957375963e-10       1.293663734993e+18       2.732645993542e-09       2.532468696478e+44       2.560114819204e+33       1.536068891522e+34       1.748432205055e+44       4.280900901712e+44       1.833114373708e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584438178e-26       4.765752237290e-09       2.040368669306e+22       1.321021285723e+04       1.358400077595e-10       1.284671037729e+18       2.751774515497e-09       2.462783320360e+44       2.507096391871e+33       1.504257835123e+34       1.700320986150e+44       4.163104306685e+44       2.444152498277e-07       3.583914038910e+01 
       9.657231609767e+13       8.104872256949e-26       4.800313035958e-09       2.012100667035e+22       1.321021285723e+04       1.367908878138e-10       1.275740851766e+18       2.771036937106e-09       2.395015461189e+44       2.455175944057e+33       1.473105566434e+34       1.653533632922e+44       4.048549094283e+44       3.055190622846e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737607287e-26       4.833054845221e-09       1.984224299847e+22       1.321021285723e+04       1.377484240285e-10       1.266872742568e+18       2.790434195665e-09       2.329112355080e+44       2.404330737270e+33       1.442598442362e+34       1.608033716854e+44       3.937146072103e+44       3.666228747415e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202651932e-26       4.867615643889e-09       1.956734141888e+22       1.321021285723e+04       1.387126629967e-10       1.258066278618e+18       2.809967235035e-09       2.265022690039e+44       2.354538503921e+33       1.412723102353e+34       1.563785811826e+44       3.828808502029e+44       4.277266871984e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289864989e-26       4.900357453153e-09       1.929624842476e+22       1.321021285723e+04       1.396836516376e-10       1.249321031398e+18       2.829637005680e-09       2.202696566012e+44       2.305777437567e+33       1.383466462540e+34       1.520755466528e+44       3.723452032701e+44       4.888304996552e-07       1.791957019455e+01 
       9.391495722125e+13       8.570022036302e-26       4.934918251820e-09       1.902891125060e+22       1.321021285723e+04       1.406614371991e-10       1.240636575371e+18       2.849444464720e-09       2.142085456034e+44       2.258026183365e+33       1.354815710019e+34       1.478909177642e+44       3.620994633834e+44       5.499343121121e-07       1.592850683960e+01 
